Sepal.Length,Sepal.Width,Petal.Length,Petal.Width,Species,Petal.Area,Aspect.Ratio,Skinny.Petal
5.1,3.5,1.4,0.2,setosa,0.28,7,TRUE
4.9,3,1.4,0.2,setosa,0.28,7,TRUE
4.7,3.2,1.3,0.2,setosa,0.26,6.5,FALSE
4.6,3.1,1.5,0.2,setosa,0.3,7.5,TRUE
5,3.6,1.4,0.2,setosa,0.28,7,TRUE
5.4,3.9,1.7,0.4,setosa,0.68,4.25,FALSE
4.6,3.4,1.4,0.3,setosa,0.42,4.66666666666667,FALSE
5,3.4,1.5,0.2,setosa,0.3,7.5,TRUE
4.4,2.9,1.4,0.2,setosa,0.28,7,TRUE
4.9,3.1,1.5,0.1,setosa,0.15,15,TRUE
5.4,3.7,1.5,0.2,setosa,0.3,7.5,TRUE
4.8,3.4,1.6,0.2,setosa,0.32,8,TRUE
4.8,3,1.4,0.1,setosa,0.14,14,TRUE
4.3,3,1.1,0.1,setosa,0.11,11,TRUE
5.8,4,1.2,0.2,setosa,0.24,6,FALSE
5.7,4.4,1.5,0.4,setosa,0.6,3.75,FALSE
5.4,3.9,1.3,0.4,setosa,0.52,3.25,FALSE
5.1,3.5,1.4,0.3,setosa,0.42,4.66666666666667,FALSE
5.7,3.8,1.7,0.3,setosa,0.51,5.66666666666667,FALSE
5.1,3.8,1.5,0.3,setosa,0.45,5,FALSE
5.4,3.4,1.7,0.2,setosa,0.34,8.5,TRUE
5.1,3.7,1.5,0.4,setosa,0.6,3.75,FALSE
4.6,3.6,1,0.2,setosa,0.2,5,FALSE
5.1,3.3,1.7,0.5,setosa,0.85,3.4,FALSE
4.8,3.4,1.9,0.2,setosa,0.38,9.5,TRUE
5,3,1.6,0.2,setosa,0.32,8,TRUE
5,3.4,1.6,0.4,setosa,0.64,4,FALSE
5.2,3.5,1.5,0.2,setosa,0.3,7.5,TRUE
5.2,3.4,1.4,0.2,setosa,0.28,7,TRUE
4.7,3.2,1.6,0.2,setosa,0.32,8,TRUE
4.8,3.1,1.6,0.2,setosa,0.32,8,TRUE
5.4,3.4,1.5,0.4,setosa,0.6,3.75,FALSE
5.2,4.1,1.5,0.1,setosa,0.15,15,TRUE
5.5,4.2,1.4,0.2,setosa,0.28,7,TRUE
4.9,3.1,1.5,0.2,setosa,0.3,7.5,TRUE
5,3.2,1.2,0.2,setosa,0.24,6,FALSE
5.5,3.5,1.3,0.2,setosa,0.26,6.5,FALSE
4.9,3.6,1.4,0.1,setosa,0.14,14,TRUE
4.4,3,1.3,0.2,setosa,0.26,6.5,FALSE
5.1,3.4,1.5,0.2,setosa,0.3,7.5,TRUE
5,3.5,1.3,0.3,setosa,0.39,4.33333333333333,FALSE
4.5,2.3,1.3,0.3,setosa,0.39,4.33333333333333,FALSE
4.4,3.2,1.3,0.2,setosa,0.26,6.5,FALSE
5,3.5,1.6,0.6,setosa,0.96,2.66666666666667,FALSE
5.1,3.8,1.9,0.4,setosa,0.76,4.75,FALSE
4.8,3,1.4,0.3,setosa,0.42,4.66666666666667,FALSE
5.1,3.8,1.6,0.2,setosa,0.32,8,TRUE
