"site_id","status","trend","n_spp"
49060,0.205263,-0.136364,57
49061,0.203279,-0.1476571304,61
49780,0.171963,-0.153226,107
49781,0.181818,-0.15,99
50494,0.150781,-0.146154,128
50495,0.15124,-0.129032,121
50496,0.164957,-0.15625,117
50497,0.163158,-0.15625,114
50498,0.164602,-0.15625,226
50499,0.175,-0.153226,104
50500,0.170093,-0.150794,107
51209,0.141667,-0.222222,24
51210,0.141667,-0.222222,25
51211,0.128571,-0.2,28
51212,0.110526,-0.181818,76
51213,0.151899,-0.121212,79
51214,0.149612,-0.146154,129
51215,0.151969,-0.146154,127
51216,0.162185,-0.15625,119
