site_id,status,trend,n_spp,risk
49060,0.205263,-0.136364,57,high
49061,0.203279,-0.1476571304,61,high
49780,0.171963,-0.153226,107,high
49781,0.181818,-0.15,99,high
50494,0.150781,-0.146154,128,low
50495,0.15124,-0.129032,121,low
50496,0.164957,-0.15625,117,high
50497,0.163158,-0.15625,114,high
50498,0.164602,-0.15625,226,high
50499,0.175,-0.153226,104,high
50500,0.170093,-0.150794,107,high
51209,0.141667,-0.222222,24,low
51210,0.141667,-0.222222,24,low
51211,0.128571,-0.2,28,low
51212,0.110526,-0.181818,76,low
51213,0.151899,-0.121212,79,low
51214,0.149612,-0.146154,129,low
51215,0.151969,-0.146154,127,low
51216,0.162185,-0.15625,119,high
