site_id,status,trend,n_spp,new_col,new_col2
49060,0.205263,-0.136364,57,words,more words
49061,0.203279,-0.1476571304,61,words,more words
49780,0.171963,-0.153226,107,words,more words
49781,0.181818,-0.15,99,words,more words
50494,0.150781,-0.146154,128,words,more words
50495,0.15124,-0.129032,121,words,more words
50496,0.164957,-0.15625,117,words,more words
50497,0.163158,-0.15625,114,words,more words
50498,0.164602,-0.15625,226,words,more words
50499,0.175,-0.153226,104,words,more words
50500,0.170093,-0.150794,107,words,more words
51209,0.141667,-0.222222,24,words,more words
51210,0.141667,-0.222222,25,words,more words
51211,0.128571,-0.2,28,words,more words
51212,0.110526,-0.181818,76,words,more words
51213,0.151899,-0.121212,79,words,more words
51214,0.149612,-0.146154,129,words,more words
51215,0.151969,-0.146154,127,words,more words
51216,0.162185,-0.15625,119,words,more words
